Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD Athlon 64 X2 QL-65,35.0,,,,,,,2009-11-01,
AMD Athlon 64 X2 QL-66,35.0,,,,,,,2009-10-01,
AMD Athlon 64 X2 QL-67,35.0,,,,,,,2009-12-01,
AMD Athlon 7450 Dual-Core,95.0,,,,,,,2009-04-01,
AMD Athlon 7550 Dual-Core,95.0,,,,,,,2009-05-01,
AMD Athlon 7750 Dual-Core,95.0,,,,,,,2009-01-01,
AMD Athlon 7850 Dual-Core,95.0,,,,,,,2009-05-01,
AMD Athlon Dual Core 4050e,45.0,,,,,,,2009-02-01,
AMD Athlon Dual Core 4450B,45.0,,,,,,,2009-03-01,
AMD Athlon Dual Core 4450e,45.0,,,,,,,2009-02-01,
AMD Athlon Dual Core 4850B,45.0,,,,,,,2010-10-01,
AMD Athlon Dual Core 4850e,45.0,,,,,,,2009-02-01,
AMD Athlon Dual Core 5000B,65.0,,,,,,,2009-05-01,
AMD Athlon Dual Core 5050e,45.0,,,,,,,2009-02-01,
AMD Athlon Dual Core 5200B,65.0,,,,,,,2009-04-01,
AMD Athlon Dual Core 5400B,65.0,,,,,,,2009-06-01,
AMD Athlon Dual Core 5600B,65.0,,,,,,,2012-03-01,
AMD Athlon Gold 3150C,15.0,,,,,,,2022-07-01,
AMD Athlon Gold 3150G,65.0,,,,,,,2022-01-01,
AMD Athlon Gold 3150G (OEM Only),65.0,,,,,,,,
AMD Athlon Gold 3150GE (OEM Only),35.0,,,,,,,,
AMD Athlon Gold 3150U,15.0,,,,,,,2020-07-01,
AMD Athlon Gold PRO 3150G,65.0,,,,,,,2020-07-01,
AMD Athlon Gold PRO 3150GE,35.0,,,,,,,2020-07-01,
AMD Athlon Gold PRO 4150GE,35.0,,,,,,,2022-08-01,
AMD Athlon II 160u,20.0,,,,,,,2010-06-01,
AMD Athlon II 170u,20.0,,,,,,,2010-10-01,
AMD Athlon II Dual-Core M300,35.0,,,,,,,2009-10-01,
AMD Athlon II Dual-Core M320,35.0,,,,,,,2009-11-01,
AMD Athlon II Dual-Core M340,35.0,,,,,,,2010-06-01,
AMD Athlon II N330 Dual-Core,35.0,,,,,,,2010-07-01,
AMD Athlon II N350 Dual-Core,35.0,,,,,,,2010-12-01,
AMD Athlon II N370 Dual-Core,35.0,,,,,,,2012-05-01,
AMD Athlon II Neo K125,12.0,,,,,,,2010-06-01,
AMD Athlon II Neo K145,12.0,,,,,,,2011-01-01,
AMD Athlon II Neo K325 Dual-Core,12.0,,,,,,,2010-06-01,
AMD Athlon II Neo K345 Dual-Core,12.0,,,,,,,2011-01-01,
AMD Athlon II Neo N36L Dual-Core,12.0,,,,,,,2010-12-01,
AMD Athlon II P320 Dual-Core,25.0,,,,,,,2010-06-01,
AMD Athlon II P340 Dual-Core,25.0,,,,,,,2010-10-01,
AMD Athlon II P360 Dual-Core,25.0,,,,,,,2011-02-01,
AMD Athlon II X2 210e,45.0,,,,,,,2010-12-01,
AMD Athlon II X2 215,65.0,,,,,,,2009-09-01,
AMD Athlon II X2 220,65.0,,,,,,,2010-06-01,
AMD Athlon II X2 235e,45.0,,,,,,,2009-10-01,
AMD Athlon II X2 240,65.0,,,,,,,2009-08-01,
AMD Athlon II X2 240e,45.0,,,,,,,2009-12-01,
AMD Athlon II X2 245,65.0,,,,,,,2009-07-01,
AMD Athlon II X2 245e,45.0,,,,,,,2011-03-01,
AMD Athlon II X2 250,65.0,,,,,,,2009-06-01,
AMD Athlon II X2 250e,45.0,,,,,,,2011-06-01,
AMD Athlon II X2 250u,25.0,,,,,,,2010-02-01,
AMD Athlon II X2 255,65.0,,,,,,,2010-01-01,
AMD Athlon II X2 260,65.0,,,,,,,2010-07-01,
AMD Athlon II X2 260u,25.0,,,,,,,2010-12-01,
AMD Athlon II X2 265,65.0,,,,,,,2010-11-01,
AMD Athlon II X2 270,65.0,,,,,,,2011-08-01,
AMD Athlon II X2 270u,25.0,,,,,,,2010-11-01,
AMD Athlon II X2 280,65.0,,,,,,,2013-03-01,
AMD Athlon II X2 4300e,13.0,,,,,,,2012-01-01,
AMD Athlon II X2 4400e,37.0,,,,,,,2009-09-01,
AMD Athlon II X2 4450e,45.0,,,,,,,2010-09-01,
AMD Athlon II X2 B22,65.0,,,,,,,2010-01-01,
AMD Athlon II X2 B24,65.0,,,,,,,2010-03-01,
AMD Athlon II X2 B26,65.0,,,,,,,2011-09-01,
AMD Athlon II X2 B28,65.0,,,,,,,2012-07-01,
AMD Athlon II X3 400e,45.0,,,,,,,2009-12-01,
AMD Athlon II X3 405e,45.0,,,,,,,2010-03-01,
AMD Athlon II X3 415e,45.0,,,,,,,2010-10-01,
AMD Athlon II X3 420e,45.0,,,,,,,2011-06-01,
AMD Athlon II X3 425,95.0,,,,,,,2009-08-01,
AMD Athlon II X3 435,95.0,,,,,,,2009-11-01,
AMD Athlon II X3 440,95.0,,,,,,,2010-02-01,
AMD Athlon II X3 445,95.0,,,,,,,2010-07-01,
AMD Athlon II X3 450,95.0,,,,,,,2010-11-01,
AMD Athlon II X3 455,95.0,,,,,,,2010-12-01,
AMD Athlon II X3 460,95.0,,,,,,,2011-08-01,
AMD Athlon II X4 557,160.0,,,,,,,2021-07-01,
AMD Athlon II X4 600e,45.0,,,,,,,2009-12-01,
AMD Athlon II X4 605e,45.0,,,,,,,2009-12-01,
AMD Athlon II X4 610e,45.0,,,,,,,2010-08-01,
AMD Athlon II X4 615e,45.0,,,,,,,2010-12-01,
AMD Athlon II X4 620,95.0,,,,,,,2009-09-01,
AMD Athlon II X4 630,95.0,,,,,,,2009-08-01,
AMD Athlon II X4 631 Quad-Core,100.0,,,,,,,2011-09-01,
AMD Athlon II X4 635,95.0,,,,,,,2010-02-01,
AMD Athlon II X4 638 Quad-Core,65.0,,,,,,,2015-04-01,
AMD Athlon II X4 640,95.0,,,,,,,2010-06-01,
AMD Athlon II X4 641 Quad-Core,100.0,,,,,,,2012-03-01,
AMD Athlon II X4 645,95.0,,,,,,,2010-10-01,
AMD Athlon II X4 650,95.0,,,,,,,2011-08-01,
AMD Athlon II X4 651 Quad-Core,100.0,,,,,,,2012-02-01,
AMD Athlon II X4 655,95.0,,,,,,,2014-01-01,
AMD Athlon L110,13.0,,,,,,,2009-07-01,
AMD Athlon LE-1600,45.0,,,,,,,2009-03-01,
AMD Athlon LE-1620,45.0,,,,,,,2009-03-01,
AMD Athlon LE-1640,45.0,,,,,,,2009-02-01,
AMD Athlon LE-1660,45.0,,,,,,,2009-04-01,
